X,Y,Z
-0.06263633,0.09693158,-0.035865016
-0.062461082,0.10489087,-0.035735674
-0.062811255,0.11214692,-0.03539347
-0.06298676,0.11835582,-0.035176072
-0.06312488,0.1233585,-0.03541956
-0.063382834,0.117574155,-0.036875453
-0.06376955,0.10839401,-0.037508886
-0.06440225,0.09608135,-0.038235217
-0.064632304,0.0812558,-0.039198603
-0.064707205,0.06429158,-0.040148713
-0.06460513,0.046058714,-0.04052292
-0.06431052,0.026726604,-0.041042764
-0.063626304,0.0073270528,-0.041332237
-0.06301102,-0.0109725855,-0.041188113
-0.062641665,-0.028311945,-0.040683407
-0.06281074,-0.042947967,-0.039881703
-0.063240714,-0.054376524,-0.038589463
-0.06382179,-0.062199965,-0.037591975
-0.06477718,-0.066120975,-0.03674848
-0.06651054,-0.06070688,-0.035140265
-0.06637721,-0.051390596,-0.034560196
-0.06509727,-0.041023444,-0.034471247
-0.062519476,-0.029661745,-0.03445462
-0.058628183,-0.0181064,-0.034473225
-0.053322867,-0.0073291576,-0.03445328
-0.047226757,9.7150914E-4,-0.034483217
-0.04082492,0.0058885235,-0.03459796
-0.034411762,0.0071797166,-0.03532495
-0.028864749,0.004462636,-0.03592224
-0.02403899,-0.0021978584,-0.037230074
-0.021008953,-0.011303045,-0.037794832
-0.019544862,-0.021926563,-0.03775344
-0.019742943,-0.03278134,-0.037063424
-0.02096235,-0.04298227,-0.03641005
-0.021956429,-0.05144814,-0.035211407
-0.022448245,-0.058562364,-0.034073297
-0.022938624,-0.06473937,-0.03269806
-0.00228142,-0.0405915,-0.029143576
0.0028794743,-0.038765177,-0.029656082
0.007968962,-0.040536143,-0.029505871
0.010361116,-0.04264773,-0.029582728
0.013503071,-0.04508585,-0.029712705
0.018094286,-0.04711461,-0.029858962
0.024199303,-0.04889751,-0.030086344
0.031090975,-0.050353147,-0.030519081
0.03831013,-0.050242815,-0.031160844
0.04483233,-0.048513226,-0.03210498
0.04958955,-0.044773217,-0.0331421
0.051734272,-0.038967717,-0.034159314
0.05090051,-0.032213677,-0.03496072
0.047329105,-0.025742307,-0.035106998
0.041979343,-0.019999303,-0.035338957
0.035334077,-0.016361754,-0.035419986
0.026067283,-0.015702464,-0.034937393
0.018635534,-0.017717484,-0.034723625
0.012108974,-0.0224318,-0.034357805
0.006225772,-0.029714178,-0.03371054
0.0030025989,-0.03849055,-0.0330939
0.0018371716,-0.048244596,-0.03239489
0.0026131496,-0.058455873,-0.031805977
0.005496267,-0.06742735,-0.030900853
0.009765647,-0.075237244,-0.029927755
0.0182996,-0.081902,-0.029788172
0.024823757,-0.0861067,-0.029143887
0.031724986,-0.087896906,-0.028770173
0.03939509,-0.08746157,-0.028286655
0.045144945,-0.08515814,-0.028166024
0.08664655,0.0823179,-0.028958933
0.0874999,0.09437922,-0.028372722
0.08841866,0.105701625,-0.027198605
0.088960454,0.11545955,-0.02582332
0.08901288,0.12304116,-0.024596287
0.08930291,0.1278358,-0.024280706
